traffic_time,cars_cnt,has_game,inc,time,date
2005-04-12 00:00:00,32.0,0.0,1,00:00:00,2005-04-12
2005-04-12 00:30:00,42.0,0.0,2,00:30:00,2005-04-12
2005-04-12 01:00:00,26.0,0.0,3,01:00:00,2005-04-12
2005-04-12 01:30:00,16.0,0.0,4,01:30:00,2005-04-12
2005-04-12 02:00:00,10.0,0.0,5,02:00:00,2005-04-12
2005-04-12 02:30:00,4.0,0.0,6,02:30:00,2005-04-12
2005-04-12 03:00:00,8.0,0.0,7,03:00:00,2005-04-12
2005-04-12 03:30:00,7.0,0.0,8,03:30:00,2005-04-12
2005-04-12 04:00:00,8.0,0.0,9,04:00:00,2005-04-12
2005-04-12 04:30:00,20.0,0.0,10,04:30:00,2005-04-12
2005-04-12 05:00:00,32.0,0.0,11,05:00:00,2005-04-12
2005-04-12 05:30:00,71.0,0.0,12,05:30:00,2005-04-12
2005-04-12 06:00:00,91.0,0.0,13,06:00:00,2005-04-12
2005-04-12 06:30:00,169.0,0.0,14,06:30:00,2005-04-12
2005-04-12 07:00:00,247.0,0.0,15,07:00:00,2005-04-12
2005-04-12 07:30:00,253.0,0.0,16,07:30:00,2005-04-12
2005-04-12 08:00:00,202.0,0.0,17,08:00:00,2005-04-12
2005-04-12 08:30:00,225.0,0.0,18,08:30:00,2005-04-12
2005-04-12 09:00:00,222.0,0.0,19,09:00:00,2005-04-12
2005-04-12 09:30:00,225.0,0.0,20,09:30:00,2005-04-12
2005-04-12 10:00:00,159.0,0.0,21,10:00:00,2005-04-12
2005-04-12 10:30:00,142.0,0.0,22,10:30:00,2005-04-12
2005-04-12 11:00:00,154.0,0.0,23,11:00:00,2005-04-12
2005-04-12 11:30:00,153.0,0.0,24,11:30:00,2005-04-12
2005-04-12 12:00:00,200.0,0.0,25,12:00:00,2005-04-12
2005-04-12 12:30:00,186.0,0.0,26,12:30:00,2005-04-12
2005-04-12 13:00:00,224.0,0.0,27,13:00:00,2005-04-12
2005-04-12 13:30:00,195.0,1.0,28,13:30:00,2005-04-12
2005-04-12 14:00:00,182.0,1.0,29,14:00:00,2005-04-12
2005-04-12 14:30:00,193.0,1.0,30,14:30:00,2005-04-12
2005-04-12 15:00:00,252.0,1.0,31,15:00:00,2005-04-12
2005-04-12 15:30:00,303.0,1.0,32,15:30:00,2005-04-12
2005-04-12 16:00:00,328.0,1.0,33,16:00:00,2005-04-12
2005-04-12 16:30:00,272.0,1.0,34,16:30:00,2005-04-12
2005-04-12 17:00:00,252.0,0.0,35,17:00:00,2005-04-12
2005-04-12 17:30:00,235.0,0.0,36,17:30:00,2005-04-12
2005-04-12 18:00:00,244.0,0.0,37,18:00:00,2005-04-12
2005-04-12 18:30:00,255.0,0.0,38,18:30:00,2005-04-12
2005-04-12 19:00:00,171.0,0.0,39,19:00:00,2005-04-12
2005-04-12 19:30:00,169.0,0.0,40,19:30:00,2005-04-12
2005-04-12 20:00:00,107.0,0.0,41,20:00:00,2005-04-12
2005-04-12 20:30:00,99.0,0.0,42,20:30:00,2005-04-12
2005-04-12 21:00:00,101.0,0.0,43,21:00:00,2005-04-12
2005-04-12 21:30:00,110.0,0.0,44,21:30:00,2005-04-12
2005-04-12 22:00:00,76.0,0.0,45,22:00:00,2005-04-12
2005-04-12 22:30:00,72.0,0.0,46,22:30:00,2005-04-12
2005-04-12 23:00:00,45.0,0.0,47,23:00:00,2005-04-12
2005-04-12 23:30:00,33.0,0.0,48,23:30:00,2005-04-12
2005-04-13 00:00:00,27.0,0.0,49,00:00:00,2005-04-13
2005-04-13 00:30:00,24.0,0.0,50,00:30:00,2005-04-13
2005-04-13 01:00:00,10.0,0.0,51,01:00:00,2005-04-13
2005-04-13 01:30:00,19.0,0.0,52,01:30:00,2005-04-13
2005-04-13 02:00:00,15.0,0.0,53,02:00:00,2005-04-13
2005-04-13 02:30:00,5.0,0.0,54,02:30:00,2005-04-13
2005-04-13 03:00:00,6.0,0.0,55,03:00:00,2005-04-13
2005-04-13 03:30:00,8.0,0.0,56,03:30:00,2005-04-13
2005-04-13 04:00:00,15.0,0.0,57,04:00:00,2005-04-13
2005-04-13 04:30:00,23.0,0.0,58,04:30:00,2005-04-13
2005-04-13 05:00:00,30.0,0.0,59,05:00:00,2005-04-13
2005-04-13 05:30:00,69.0,0.0,60,05:30:00,2005-04-13
2005-04-13 06:00:00,75.0,0.0,61,06:00:00,2005-04-13
2005-04-13 06:30:00,163.0,0.0,62,06:30:00,2005-04-13
2005-04-13 07:00:00,236.0,0.0,63,07:00:00,2005-04-13
2005-04-13 07:30:00,224.0,0.0,64,07:30:00,2005-04-13
2005-04-13 08:00:00,192.0,0.0,65,08:00:00,2005-04-13
2005-04-13 08:30:00,264.0,0.0,66,08:30:00,2005-04-13
2005-04-13 09:00:00,224.0,0.0,67,09:00:00,2005-04-13
2005-04-13 09:30:00,183.0,0.0,68,09:30:00,2005-04-13
2005-04-13 10:00:00,189.0,0.0,69,10:00:00,2005-04-13
2005-04-13 10:30:00,178.0,0.0,70,10:30:00,2005-04-13
2005-04-13 11:00:00,138.0,0.0,71,11:00:00,2005-04-13
2005-04-13 11:30:00,142.0,0.0,72,11:30:00,2005-04-13
2005-04-13 12:00:00,149.0,0.0,73,12:00:00,2005-04-13
2005-04-13 12:30:00,169.0,0.0,74,12:30:00,2005-04-13
